Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,India Captain,Opponent Captain,Toss Result,Powerplay Runs India,Powerplay Runs Opponent,Year
India,Australia,Australia,5 wickets,Guwahati,"Nov 28, 2023",/series/australia-in-india-2023-24-1389381/india-vs-australia-3rd-t20i-1389393/full-scorecard,Suryakumar Yadav,Matthew Wade,"Australia, elected to field first",67/2,43/2,2023
India,Australia,India,44 runs,Thiruvananthapuram,"Nov 26, 2023",/series/australia-in-india-2023-24-1389381/india-vs-australia-2nd-t20i-1389392/full-scorecard,Suryakumar Yadav,Matthew Wade,"Australia, elected to field first",53/3,77/1,2023
India,Australia,India,2 wickets,Visakhapatnam,"Nov 23, 2023",/series/australia-in-india-2023-24-1389381/india-vs-australia-1st-t20i-1389391/full-scorecard,Suryakumar Yadav,Matthew Wade,"India, elected to field first",63/2,40/1,2023
Bangladesh,India,India,9 wickets,Hangzhou,"Oct 6, 2023",/series/asian-games-men-s-cricket-competition-2023-1398685/bangladesh-vs-india-1st-semi-final-1399117/full-scorecard,Ruturaj Gaikwad,Saif Hassan,"India, elected to field first",68/1,21/3,2023
India,Nepal,India,23 runs,Hangzhou,"Oct 3, 2023",/series/asian-games-men-s-cricket-competition-2023-1398685/india-vs-nepal-1st-quarter-final-1399113/full-scorecard,Ruturaj Gaikwad,Rohit Paudel,"India, elected to bat first",46/1,63/0,2023
Ireland,India,India,33 runs,Dublin (Malahide),"Aug 20, 2023",/series/india-in-ireland-2023-1384631/ireland-vs-india-2nd-t20i-1384637/full-scorecard,Jasprit Bumrah,Paul Stirling,"Ireland, elected to field first",31/3,47/2,2023
Ireland,India,India,2 runs,Dublin (Malahide),"Aug 18, 2023",/series/india-in-ireland-2023-1384631/ireland-vs-india-1st-t20i-1384634/full-scorecard,Jasprit Bumrah,Paul Stirling,"India, elected to field first",45/0,30/4,2023
India,West Indies,West Indies,8 wickets,Lauderhill,"Aug 13, 2023",/series/india-in-west-indies-2023-1381201/india-vs-west-indies-5th-t20i-1381221/full-scorecard,Hardik Pandya,Rovman Powell,"India, elected to bat first",61/1,51/2,2023
India,West Indies,India,9 wickets,Lauderhill,"Aug 12, 2023",/series/india-in-west-indies-2023-1381201/india-vs-west-indies-4th-t20i-1381220/full-scorecard,Hardik Pandya,Rovman Powell,"West Indies, elected to bat first",66/0,55/2,2023
West Indies,India,India,7 wickets,Providence,"Aug 8, 2023",/series/india-in-west-indies-2023-1381201/west-indies-vs-india-3rd-t20i-1381219/full-scorecard,Hardik Pandya,Rovman Powell,"West Indies, elected to bat first",60/2,38/0,2023
West Indies,India,West Indies,2 wickets,Providence,"Aug 6, 2023",/series/india-in-west-indies-2023-1381201/west-indies-vs-india-2nd-t20i-1381218/full-scorecard,Hardik Pandya,Rovman Powell,"India, elected to bat first",61/3,34/2,2023
West Indies,India,West Indies,4 runs,Tarouba,"Aug 3, 2023",/series/india-in-west-indies-2023-1381201/west-indies-vs-india-1st-t20i-1381217/full-scorecard,Hardik Pandya,Rovman Powell,"West Indies, elected to bat first",45/2,54/2,2023
India,New Zealand,India,168 runs,Ahmedabad,"Feb 1, 2023",/series/new-zealand-in-india-2022-23-1348633/india-vs-new-zealand-3rd-t20i-1348651/full-scorecard,Hardik Pandya,Mitchell Santner,"India, elected to bat first",30/5,58/1,2023
India,New Zealand,India,6 wickets,Lucknow,"Jan 29, 2023",/series/new-zealand-in-india-2022-23-1348633/india-vs-new-zealand-2nd-t20i-1348650/full-scorecard,Hardik Pandya,Mitchell Santner,"New Zealand, elected to bat first",29/1,33/2,2023
India,New Zealand,New Zealand,21 runs,Ranchi,"Jan 27, 2023",/series/new-zealand-in-india-2022-23-1348633/india-vs-new-zealand-1st-t20i-1348649/full-scorecard,Hardik Pandya,Mitchell Santner,"India, elected to field first",33/3,47/2,2023
India,Sri Lanka,India,91 runs,Rajkot,"Jan 7, 2023",/series/sri-lanka-in-india-2022-23-1348629/india-vs-sri-lanka-3rd-t20i-1348642/full-scorecard,Hardik Pandya,Dasun Shanaka,"India, elected to bat first",51/2,53/2,2023
India,Sri Lanka,Sri Lanka,16 runs,Pune,"Jan 5, 2023",/series/sri-lanka-in-india-2022-23-1348629/india-vs-sri-lanka-2nd-t20i-1348641/full-scorecard,Hardik Pandya,Dasun Shanaka,"India, elected to field first",39/4,55/0,2023
India,Sri Lanka,India,2 runs,Wankhede,"Jan 3, 2023",/series/sri-lanka-in-india-2022-23-1348629/india-vs-sri-lanka-1st-t20i-1348640/full-scorecard,Hardik Pandya,Dasun Shanaka,"Sri Lanka, elected to field first",35/2,41/2,2023
South Africa,India,India,135 runs,Johannesburg,"Nov 15, 2024",/series/india-in-south-africa-2024-25-1449299/south-africa-vs-india-4th-t20i-1449304/full-scorecard,Suryakumar Yadav,Aiden Markram,"India, elected to bat first",30/4,73/1,2024
South Africa,India,India,11 runs,Centurion,"Nov 13, 2024",/series/india-in-south-africa-2024-25-1449299/south-africa-vs-india-3rd-t20i-1449303/full-scorecard,Suryakumar Yadav,Aiden Markram,"South Africa, elected to field first",55/2,70/1,2024
South Africa,India,South Africa,3 wickets,Gqeberha,"Nov 10, 2024",/series/india-in-south-africa-2024-25-1449299/south-africa-vs-india-2nd-t20i-1449302/full-scorecard,Suryakumar Yadav,Aiden Markram,"South Africa, elected to field first",34/2,34/3,2024
South Africa,India,India,61 runs,Durban,"Nov 8, 2024",/series/india-in-south-africa-2024-25-1449299/south-africa-vs-india-1st-t20i-1449301/full-scorecard,Suryakumar Yadav,Aiden Markram,"South Africa, elected to field first",49/3,56/1,2024
India,Bangladesh,India,133 runs,Hyderabad,"Oct 12, 2024",/series/bangladesh-in-india-2024-25-1439844/india-vs-bangladesh-3rd-t20i-1439895/full-scorecard,Suryakumar Yadav,Najmul Hossain Shanto,"India, elected to bat first",59/3,82/1,2024
India,Bangladesh,India,86 runs,Delhi,"Oct 9, 2024",/series/bangladesh-in-india-2024-25-1439844/india-vs-bangladesh-2nd-t20i-1439894/full-scorecard,Suryakumar Yadav,Najmul Hossain Shanto,"Bangladesh, elected to field first",43/3,45/3,2024
India,Bangladesh,India,7 wickets,Gwalior,"Oct 6, 2024",/series/bangladesh-in-india-2024-25-1439844/india-vs-bangladesh-1st-t20i-1439893/full-scorecard,Suryakumar Yadav,Najmul Hossain Shanto,"India, elected to field first",71/2,39/2,2024
Sri Lanka,India,India,7 wickets,Pallekele,"Jul 28, 2024",/series/india-in-sri-lanka-2024-1442984/sri-lanka-vs-india-2nd-t20i-1442988/full-scorecard,Suryakumar Yadav,Charith Asalanka,"India, elected to field first",72/3,54/1,2024
Sri Lanka,India,India,43 runs,Pallekele,"Jul 27, 2024",/series/india-in-sri-lanka-2024-1442984/sri-lanka-vs-india-1st-t20i-1442987/full-scorecard,Suryakumar Yadav,Charith Asalanka,"Sri Lanka, elected to field first",55/0,74/1,2024
Zimbabwe,India,India,42 runs,Harare,"Jul 14, 2024",/series/zimbabwe-vs-india-2024-1420218/zimbabwe-vs-india-5th-t20i-1420227/full-scorecard,Shubman Gill,Sikandar Raza,"Zimbabwe, elected to field first",47/2,44/3,2024
Zimbabwe,India,India,10 wickets,Harare,"Jul 13, 2024",/series/zimbabwe-vs-india-2024-1420218/zimbabwe-vs-india-4th-t20i-1420226/full-scorecard,Shubman Gill,Sikandar Raza,"India, elected to field first",61/0,44/0,2024
Zimbabwe,India,India,23 runs,Harare,"Jul 10, 2024",/series/zimbabwe-vs-india-2024-1420218/zimbabwe-vs-india-3rd-t20i-1420225/full-scorecard,Shubman Gill,Sikandar Raza,"India, elected to bat first",37/3,55/0,2024
Zimbabwe,India,India,100 runs,Harare,"Jul 7, 2024",/series/zimbabwe-vs-india-2024-1420218/zimbabwe-vs-india-2nd-t20i-1420224/full-scorecard,Shubman Gill,Sikandar Raza,"India, elected to bat first",58/4,36/1,2024
